module,type,name,res_id,src,value,comments
web_unsplash,model,"account.account.type,name",account.data_account_off_sheet,Off-Balance Sheet,Off-Balance Sheet,
web_unsplash,model,"account.account.type,name",account.data_account_type_credit_card,Credit Card,Credit Card,
web_unsplash,model,"account.account.type,name",account.data_account_type_current_assets,Current Assets,Current Assets,
web_unsplash,model,"account.account.type,name",account.data_account_type_current_liabilities,Current Liabilities,Current Liabilities,
web_unsplash,model,"account.account.type,name",account.data_account_type_depreciation,Depreciation,Depreciation,
web_unsplash,model,"account.account.type,name",account.data_account_type_direct_costs,Cost of Revenue,Cost of Revenue,
web_unsplash,model,"account.account.type,name",account.data_account_type_equity,Equity,Equity,
web_unsplash,model,"account.account.type,name",account.data_account_type_expenses,Expenses,Expenses,
web_unsplash,model,"account.account.type,name",account.data_account_type_fixed_assets,Fixed Assets,Fixed Assets,
web_unsplash,model,"account.account.type,name",account.data_account_type_liquidity,Bank and Cash,Bank and Cash,
web_unsplash,model,"account.account.type,name",account.data_account_type_non_current_assets,Non-current Assets,Non-current Assets,
web_unsplash,model,"account.account.type,name",account.data_account_type_non_current_liabilities,Non-current Liabilities,Non-current Liabilities,
web_unsplash,model,"account.account.type,name",account.data_account_type_other_income,Other Income,Other Income,
web_unsplash,model,"account.account.type,name",account.data_account_type_payable,Payable,Payable,
web_unsplash,model,"account.account.type,name",account.data_account_type_prepayments,Prepayments,Prepayments,
web_unsplash,model,"account.account.type,name",account.data_account_type_receivable,Receivable,Receivable,
web_unsplash,model,"account.account.type,name",account.data_account_type_revenue,Income,Income,
web_unsplash,model,"account.account.type,name",account.data_unaffected_earnings,Current Year Earnings,Current Year Earnings,
web_unsplash,model,"account.incoterms,name",account.incoterm_CFR,COST AND FREIGHT,COST AND FREIGHT,
web_unsplash,model,"account.incoterms,name",account.incoterm_CIF,"COST, INSURANCE AND FREIGHT","COST, INSURANCE AND FREIGHT",
web_unsplash,model,"account.incoterms,name",account.incoterm_CIP,CARRIAGE AND INSURANCE PAID TO,CARRIAGE AND INSURANCE PAID TO,
web_unsplash,model,"account.incoterms,name",account.incoterm_CPT,CARRIAGE PAID TO,CARRIAGE PAID TO,
web_unsplash,model,"account.incoterms,name",account.incoterm_DAP,DELIVERED AT PLACE,DELIVERED AT PLACE,
web_unsplash,model,"account.incoterms,name",account.incoterm_DDP,DELIVERED DUTY PAID,DELIVERED DUTY PAID,
web_unsplash,model,"account.incoterms,name",account.incoterm_DPU,DELIVERED AT PLACE UNLOADED,DELIVERED AT PLACE UNLOADED,
web_unsplash,model,"account.incoterms,name",account.incoterm_EXW,EX WORKS,EX WORKS,
web_unsplash,model,"account.incoterms,name",account.incoterm_FAS,FREE ALONGSIDE SHIP,FREE ALONGSIDE SHIP,
